Tiempo_s,fr_l,u
4260.045,4.79697895050049,55.7999992370605
4260.272,4.95198011398315,55.7999992370605
4260.499,4.79697895050049,55.7999992370605
4260.726,4.95198011398315,55.7999992370605
4260.953,4.79496574401855,55.7999992370605
4261.179,4.79899168014526,55.7999992370605
4261.406,4.95600605010986,55.7999992370605
4261.632,4.95801877975464,55.7999992370605
4261.859,4.79496574401855,55.7999992370605
4262.085,4.79899168014526,55.7999992370605
4262.311,4.79899168014526,55.7999992370605
4262.538,4.96003198623657,55.7999992370605
4262.765,4.79899168014526,55.7999992370605
4262.992,4.96003198623657,55.7999992370605
4263.219,4.80301809310913,55.7999992370605
4263.445,4.81509590148926,55.7999992370605
4263.672,4.80503082275391,55.7999992370605
4263.899,4.80301809310913,55.7999992370605
4264.126,4.95399284362793,55.7999992370605
4264.352,4.96405792236328,55.7999992370605
4264.579,4.80503082275391,55.7999992370605
4264.806,4.96607112884521,55.7999992370605
4265.033,4.96808385848999,55.7999992370605
4265.26,4.90970706939697,55.7999992370605
4265.487,4.80905675888062,55.7999992370605
4265.713,4.80704402923584,55.7999992370605
4265.939,4.80704402923584,55.7999992370605
4266.165,4.80704402923584,55.7999992370605
4266.391,4.80704402923584,55.7999992370605
4266.618,4.96808385848999,55.7999992370605
4266.844,4.96808385848999,55.7999992370605
4267.071,4.81106996536255,55.7999992370605
4267.298,4.97009706497192,55.7999992370605
4267.525,4.80905675888062,55.7999992370605
4267.752,0.597860991954803,8.69999980926514
4267.978,0.634095013141632,8.69999980926514
4268.205,0.634095013141632,8.69999980926514
4268.431,0.634095013141632,8.69999980926514
4268.658,0.634095013141632,8.69999980926514
4268.885,3.53885388374329,42
4269.113,3.67775082588196,42
4269.339,3.52677583694458,42
4269.565,3.54891896247864,42
4269.792,3.68177700042725,42
4270.019,3.56099700927734,42
4270.245,3.53080201148987,42
4270.471,3.54690599441528,42
4270.698,3.6837899684906,42
4270.925,3.5630099773407,42
4271.152,3.6837899684906,42
4271.379,3.58313989639282,42
4271.605,3.58515286445618,42
4271.832,3.6837899684906,42
4272.059,3.58515286445618,42
4272.286,3.6837899684906,42
4272.513,3.52476286888123,42
4272.739,3.56502294540405,42
4272.966,3.6837899684906,42
4273.646,3.68580293655396,42
4273.872,3.68580293655396,42
4274.553,3.52878904342651,42
4274.779,3.52476286888123,42
4275.006,3.68781590461731,42
4275.232,3.68781590461731,42
4275.458,3.68781590461731,42
4275.684,3.68781590461731,42
4275.911,3.66969895362854,42
4276.138,3.68781590461731,42
4276.365,3.56502294540405,42
4276.592,3.68781590461731,42
4276.818,3.65762090682983,42
4277.045,3.53684091567993,42
4277.271,3.52878904342651,42
4277.498,3.60729598999023,42
4277.725,3.52677583694458,10.8999996185303
4277.953,0.837408006191254,10.8999996185303
4278.18,0.835394978523254,10.8999996185303
4278.407,0.835394978523254,10.8999996185303
4278.634,0.8333820104599,10.8999996185303
4278.861,0.8333820104599,10.8999996185303
4279.088,0.835394978523254,10.8999996185303
4279.314,0.8333820104599,10.8999996185303
4279.54,0.775004982948303,10.8999996185303
4279.767,0.8333820104599,10.8999996185303
4279.994,0.8333820104599,10.8999996185303
4280.22,0.8333820104599,10.8999996185303
4280.447,0.8333820104599,10.8999996185303
4280.674,0.8333820104599,10.8999996185303
4280.901,0.8333820104599,10.8999996185303
4281.127,0.8333820104599,10.8999996185303
4281.354,0.8333820104599,10.8999996185303
4281.581,0.8333820104599,89.5
4281.808,8.00570106506348,89.5
4282.035,8.02381801605225,89.5
4282.261,8.03186988830566,61.0999984741211
4282.488,5.47938585281372,61.0999984741211
4282.714,5.47535991668701,61.0999984741211
4282.941,5.31633281707764,61.0999984741211
4283.167,5.31432008743286,61.0999984741211
4283.395,5.47938585281372,61.0999984741211
4283.621,5.31633281707764,61.0999984741211
4283.847,5.31633281707764,61.0999984741211
4284.074,5.47938585281372,61.0999984741211
4284.301,5.31834602355957,61.0999984741211
4284.528,5.47938585281372,61.0999984741211
4284.754,5.48139905929565,61.0999984741211
4284.981,5.32237195968628,61.0999984741211
4285.208,5.48341178894043,61.0999984741211
4285.434,5.48542499542236,61.0999984741211
4285.661,5.45724296569824,61.0999984741211
4285.887,5.32438468933105,61.0999984741211
4286.113,5.32639789581299,61.0999984741211
4286.339,5.32438468933105,61.0999984741211
4286.566,5.48542499542236,61.0999984741211
4286.793,5.32237195968628,61.0999984741211
4287.02,5.48341178894043,61.0999984741211
4287.247,5.32841110229492,61.0999984741211
4287.473,5.32841110229492,32.0999984741211
4287.7,2.75177097320557,32.0999984741211
4287.926,2.76988792419434,32.0999984741211
4288.152,2.76988792419434,32.0999984741211
4288.378,2.7759268283844,32.0999984741211
4288.604,2.7759268283844,32.0999984741211
4288.83,2.7759268283844,32.0999984741211
4289.056,2.7759268283844,14.3999996185303
4289.282,1.15747499465942,14.3999996185303
4289.508,1.15747499465942,14.3999996185303
4289.734,1.15546202659607,14.3999996185303
4289.961,1.15546202659607,14.3999996185303
4290.187,1.15546202659607,14.3999996185303
4290.414,1.14741003513336,14.3999996185303
4290.641,1.15546202659607,14.3999996185303
4290.867,1.15546202659607,14.3999996185303
4291.094,1.15546202659607,14.3999996185303
4291.32,1.15546202659607,14.3999996185303
4291.546,1.15546202659607,14.3999996185303
4291.773,1.15546202659607,14.3999996185303
4291.999,1.15546202659607,14.3999996185303
4292.226,1.15546202659607,14.3999996185303
4292.452,1.15546202659607,14.3999996185303
4292.68,1.13935792446136,14.3999996185303
4292.907,1.15546202659607,14.3999996185303
4293.134,2.30287194252014,82
4293.361,7.30920267105103,82
4293.588,7.36355400085449,82
4293.815,7.32933282852173,82
4294.042,7.42193078994751,82
4294.269,7.33738470077515,82
4294.496,5.44919109344482,49.7999992370605
4294.722,4.42457389831543,49.7999992370605
4294.949,4.26554679870605,49.7999992370605
4295.176,4.4225606918335,49.7999992370605
4295.404,4.26756000518799,49.7999992370605
4295.631,4.26353406906128,49.7999992370605
4295.858,4.4225606918335,49.7999992370605
4296.085,4.26353406906128,49.7999992370605
4296.311,4.26756000518799,49.7999992370605
4296.538,4.4225606918335,49.7999992370605
4296.765,4.26152086257935,49.7999992370605
4296.992,4.42457389831543,49.7999992370605
4297.219,4.26152086257935,49.7999992370605
4297.446,4.4225606918335,49.7999992370605
4297.672,4.42457389831543,49.7999992370605
4297.898,4.4225606918335,49.7999992370605
4298.125,4.26554679870605,49.7999992370605
4298.352,4.42457389831543,49.7999992370605
4298.579,4.26152086257935,49.7999992370605
4298.806,4.42457389831543,49.7999992370605
4299.034,4.26756000518799,49.7999992370605
4299.261,4.26756000518799,49.7999992370605
4299.488,4.42658710479736,49.7999992370605
4299.714,4.42658710479736,49.7999992370605
4299.941,4.26152086257935,49.7999992370605
4300.168,4.42658710479736,49.7999992370605
4300.394,4.42658710479736,49.7999992370605
4300.621,4.26957273483276,49.7999992370605
4300.848,4.42859983444214,49.7999992370605
4301.074,4.42859983444214,49.7999992370605
4301.301,4.26957273483276,49.7999992370605
4301.527,4.26756000518799,49.7999992370605
4301.754,4.42658710479736,49.7999992370605
4301.981,4.26554679870605,49.7999992370605
4302.208,4.07431173324585,46
4302.435,3.91125893592834,46
4302.662,4.07431173324585,46
